,Sentence,Sentiment
73,"finnish it solutions provider affecto oyj hel : afe1v said today its slipped to a net loss of eur 115,000 usd 152,000 in the second quarter of 2010 from a profit of eur 845,000 in the corresponding period a year earlier .",neutral
74,us sanctions put gazprom-shell alliance plans in jeopardy,negative
75,"profit for the period was eur 10.9 mn , down from eur 14.3 mn in 2009 .",neutral
76,"profit for the period was eur 5.9 mn , up from eur 1.3 mn .",positive
77,operating profit fell to eur 20.3 mn from eur 74.2 mn in the second quarter of 2008 .,neutral
78,"however , sales returned to growth in april-june 2010 , ceo pekka eloholma said .",positive
79,operating profit totaled eur 18.6 mn or 8.3 % of net sales .,neutral
80,"changes in the market situation and tougher price competition have substantially reduced demand for bread packaging manufactured at the kauhava plant , according to the company .",negative
81,"in connection with the deal , digia will employ 19 persons from nokia in oslo and in silicon valley in the usa .",neutral
82,"the brazilian unit of finnish security solutions provider f-secure signed up 1,500 new clients last year , online news source reseller web quoted the division 's commercial director , vladimir brand+úo , as saying .",positive
83,the fair value of the company 's investment properties went down to eur 2.768 billion at the end of 2009 from eur 2.916 billion a year earlier .,neutral
84,"dealers said the share was largely hit by investor disappointment about a refining margin of just 9.48 usd per barrel for the quarter and the performance of its shipping unit , which saw ebit drop to 5 mln eur from 20 mln eur a year amid a fall in volumes and tanker rates .",negative
85,"` it is a testament to the quality of our lte solution and our commitment to the japanese market ' , he added .",neutral
86,the companies ' aim is to finalize the negotiations and sign the contracts at the start of october 2008 .,neutral
87,"metso foundries jyvaskyla oy will discontinue production on this line by 30 september 2008 , the company said .",neutral
88,"a total six of the polled analysts rated m-real -- two gave `` buy '' - `` accumulate '' , three gave `` hold '' and only one gave `` sell '' .",neutral
89,"in september 2010 , the finnish group agreed to buy danish company rose poultry a-s for up to eur23 .9 m in a combination of cash and stock .",positive
90,$yang double bottom 5.2,positive
91,tesco share price down as grocer faces sfo investigation outcome,negative
92,$aapl news is becoming very bullish again http://stks.co/tmu,positive
93,"gs engineering will install the valves at a liquefied natural gas lng plant it has built for uae lng extraction and gas plants operator gasco in ruwais , uae .",neutral
94,the percentages of shares and voting rights have been calculated in proportion to the total number of shares registered with the trade register and the total number of voting rights related to them .,neutral
95,"m-real said there are ` no grounds ' for the rumors , which ` have been circulating in the market for some months . '",neutral
96,"lember said the matter was topical also in estonia , where a bill has been drafted at the social affairs ministry that would scrap old-age pensions on favorable conditions .",neutral
97,- moody 's said it gave p a1 long-term senior unsecured and p p-1 short-term debt ratings to finnish lender aktia bank 's eur1bn usd1 .4 bn euro medium-term note emtn program of 25 march 2011 .,neutral
98,$tsla recall,negative
99,"the liquidity providing was interrupted on may 11 , 2007 when aspocomp group oyj 's shares traded below 0.50 cent ( aspocomp 's stock exchange release 11.5.2007 ) .",neutral
100,hargreaves lansdown bucks weak markets to see assets rise 2.6 percent,positive
101,"at 12.59 pm , the omx helsinki 25 index was 0.32 pct lower at 2,694.81 .",negative
102,"the decision means temporary lay-offs of fixed duration at the company 's nastola and jyvaskyla units , in southern and central finland , respectively .",neutral
103,the value of the orders is over eur 10mn .,neutral
104,ms laakso will be responsible for hkscan 's hr functions and for their development in all of the group ` smarket areas .,neutral
105,"fiskars is also engaged in the global supply of marine and energy equipment solutions and services through its associated company , wartsila corporation .",neutral
106,aberdeen asset management gains foothold in china,positive
107,finland 's dominating rail company vr is planning to set the infected passengers for long-distance trip in a separate carriage .,neutral
108,"in november , the finnish government decreased its ownership in the company further to 31.1 percent from 38 percent .",neutral
109,"finnish exel composites , a technology company that designs , manufactures , and markets composite profiles and tubes for various industrial applications , reports its net sales decreased by 0.6 % in the second quarter of 2010 to eur 19.2 mn from eur 19.3 mn in the corresponding period in 2009 .",neutral
110,"of bavelloni 's and nst 's joint ventures , bavelloni tools , completes semiproducts that are produced in italy into high-quality tools that will be sold under the diapol brand .",neutral
111,the tool is a patent pending design that allows consumers to lay out their entire project on a removable plate using multiple clear stamps of any kind .,neutral
112,$googl is a short below 740 into the upper bb and is overbought,negative
113,"lights out before curfew , curl up with the latest bestseller and treat your eyes to the perfect reading light from luceplan .",neutral
114,"upm-kymmene corp. , the world 's largest maker of magazine paper , on tuesday reported a 19-percent profit drop as lower paper prices , higher costs and a strong euro hurt revenue .",negative
115,the total value of the contract is some eur 8 million .,neutral
116,"the prerequisite for inclusion in the program and for receipt of any gains is that key employees acquire aspo shares to the amount determined by the board in advance , in the maximum .",neutral
117,mr. doring has been with eaton since 1989 and acted as the business unit manager for eaton 's power controls business unit since january 2007 .,neutral
118,"the 250 sq m 2,691 sq ft store in copenhagen 's premier shopping district was inaugurated today , further strengthening the company 's presence in nordic capitals .",positive
119,"in the financial statement for the first quarter of 2010 , tikkurila is reported under discontinued operations .",neutral
120,"the world 's second largest stainless steel maker said net profit in the three-month period until dec. 31 surged to euro603 million us$ 781 million , or euro3 .33 us$ 4.31 per share , from euro172 million , or euro0 .94 per share , the previous year .",positive
121,"name of applicant : jot automation oyname of inventor : mammila tuomo , piirainen mika and kellokoski mikaapplication no. : 2424-kolnp-2008 adate of filing of application : 16-06-2008publication date : 30/01/2009",neutral
122,netflix grows efforts to create loyal customers $nflx https://t.co/5qxbkobphe,positive
123,"the omx nordic 40 omxn40 index , comprising the 40 most traded nordic stocks on the nasdaq omx exchange , closed down 0.87 % at 1,064.14 points on thursday .",negative
124,$aapl nibbling on a small long via 525.. buying off 13min charts..,positive
125,the operating margin of aker yards cruise & ferries division went down from 8.3 % to 6.4 % in the first quarter of 2007 .,negative
126,"$tyc just about to break out to new highs, lots of technicals looking great right now.",positive
127,"eero katajavuori , currently group vice president , human resources , will take a year-long sabbatical starting from october 1 , 2010 .",neutral
128,"whats up with $lulu?  numbers looked good, not great, but good.  i think conference call will instill confidence.",neutral
129,the adjustment measures will be carried out in phases to secure the delivery capability .,neutral
130,"alma media corporation press release 15 march 2010 tyrvaan sanomat and paikallissanomat being bought by suomen paikallissanomat two local papers , tyrvaan sanomat and paikallissanomat , appearing in sastamala and its neighbouring municipalities , are to be bought by suomen paikallissanomat oy .",neutral
131,"temporary lay-offs , affecting the entire workforce , will also be implemented .",negative
132,"a meeting for the media and analysts will be held on the same day at 10:30 a.m. at stonesoft headquarters in helsinki , italahdenkatu 22 a. the interim report will be presented by stonesoft 's ceo ilkka hiidenheimo .",neutral
133,"finnish sampo-rosenlew manufactures approximately seven forest machines monthly , and about half of machines are exported .",neutral
134,"facebook, near a buy point last week, faces a different technical test today https://t.co/c72llmpinm $fb $aapl $nflx https://t.co/fpfbytypuy",positive
135,"4 february 2011 - finnish broadband data communication systems provider teleste oyj hel : tlt1v said wednesday its net profit rocketed to eur4 .8 m in 2010 from eur416 ,000 in 2009 and it lifted its dividend proposal .",positive
136,$free ha heeeeeere comes the pump! so glad i picked up 9k end of day! get ready for the bull ride!,positive
137,"finnish technology group aspocomp group oyj ( omx helsinki : acg1v ) issued its third quarter report on thursday ( 13 november ) , posting an operating profit of eur0 .4 m , as compared to a loss of eur0 .5 m in the third quarter of 2007 .",positive
138,"the building complex consists of high-quality office and retail space totalling 49,200 square metres , the company said .",neutral
139,finnish insurance company fennia and kesko group are ending their loyal customer cooperation .,neutral
140,the unit is planned to be operational during the second half of 2007 and in full stream in 2008 .,neutral
141,"itg 's share in the deal is estimated at some 500,000 euro $ 627,000 .",neutral
142,the plant is expected to enter commercial operation by mid-2009 .,neutral
143,aspo has also investigated the sales opportunities of kaukomarkkinat 's electronics business .,neutral
144,bg group appoints new ceo one month early,neutral
145,the acquisition will have an immediate positive impact on aspocomp 's financial result .,positive
146,"finnair 's passenger load factor , which measures the number of sold seats as a share of all available seats , dropped by 1.3 percentage points to 76.7 % in september .",negative
147,rt @bman1 $lng looks primed also $eght poised to run too...,positive
148,it is also 7.7 pct above the 12-month volume weighted average price of the stock .,positive
149,coke dividend - 3%. google dividend - 0%. for passive income coke takes it. $goog $ko https://t.co/qbsowjxost,neutral
150,"profit before taxes was eur 5.4 mn , up from eur 3.6 mn a year earlier .",positive
151,the subsidiary is setting up a facility for manufacturing high-density interconnection printed circuit boards or pcbs at nokia 's special economic zone at sriperumbudur near chennai .,neutral
152,$crm sep 40 calls are +35% since entry #bang http://stks.co/dedm,positive
153,"in january-june 2010 , diluted loss per share stood at eur0 .3 versus eur0 .1 in the first half of 2009 .",negative
154,rapala said it estimates it will make savings of 1-2 mln eur a year by centralising its french operations at one site .,positive
155,$vmw  got a nice push today following small sweepers of may c this morning,positive
156,that topped consensus forecasts for earnings of 0.21 euros a share .,positive
157,r&d loan ) .,neutral
158,"in future , the company intends to look for know-how from outside the company and to cooperate with other actors in the sector .",positive
159,"you need to be ready when the window opens up , rosberg said .",neutral
160,"more than 50,000 tonnes of asphalt mix will be used in the contract .",neutral
161,"pa ) , jpmorgan chase and co ( nyse : jpm ) and pohjoa bank are joint lead-managers on the senior , unsecured deal .",neutral
162,$ctrp  breaking out here on good vol and a parser buy signal  ..noticed this on bob langs comments looking for 48 fast,positive
163,"sales in finland decreased by 10.5 % in january , while sales outside finland dropped by 17 % .",neutral
164,"the pulp production in finnish kemij+ñrvi will also be liquidated and about 1,100 employees loose their jobs .",negative
165,nordea was the cheapest also for a couple in their 30s with debt .,neutral
166,"jussi pesonen , member of the sampo board since 2006 , will renounce his seat in sampo board .",neutral
167,"tesla is recalling 2,700 model x cars: https://t.co/8z7bkvstl9 $tsla",negative
168,"adjusted for changes in the group structure , the division 's net sales increased by 1.7 % .",positive
169,"making matters more difficult , the company said it has been grappling with higher oil and gas prices , which have pushed up the cost of energy , raw materials and transportation .",neutral
170,the amending of the proposal simplifies the proposed plan and increases the incentive for key employees to stay in the company .,positive
171,the solution will now be expanded to include all ground staff tasks .,neutral
172,"operating loss totalled eur 3.2 mn , compared to a profit of eur 7.2 mn in the third quarter of 2008 .",negative
173,"on #fedday looking for a sharp move up in equities $aapl $hd $low $fb seeing $uvxy $tvix getting hammered, even though market is down.",positive
174,"net sales totaled eur 93.6 mn , up from eur 93.2 mn in the corresponding period in 2005 .",positive
175,as a consequence the works council had withdrawn its petition to suspend the reorganisation .,neutral
176,ceo erkki j+ñrvinen is happy with the company 's performance in 2010 .,positive
177,"comparable net sales are expected to increase more than 10 % in 2008 , in line with group target .",positive
178,"following the transaction , lundbeck has worldwide rights for nalmefene , excluding north america , mexico , turkey and south-korea .",positive
179,"the government started the sell-off last month , putting an 8 percent stake in teliasonera on the auction bloc .",neutral
180,"the report goes on to provide detailed profiles of ten leading european specialty chemicals companies , and brief profiles of other major players .",neutral
181,"both operating profit and net sales for the three-month period increased , respectively from eur16 .0 m and eur139m , as compared to the corresponding quarter in 2006 .",positive
182,the company expects its net sales for the whole 2009 to be at previous year levels .,neutral
183,"the company is headquartered in sievi , finland , and is listed on the nordic exchange in helsinki .",neutral
184,"commission income increased by 22 % to eur 4.4 mn , and lending volume rose by 13.5 % .",positive
185,"the finnish company sold its uk operation - consisting of 50 staff in offices in london , birmingham and manchester - as part of a deal with hampden in july 2001 for its european-wide property and casualty arm sampo industrial .",neutral
186,"in the building and home improvement trade , sales decreased by 22.5 % to eur 201.4 mn .",negative
187,"the innova 2 building will be located close to downtown , in the immediate vicinity of paviljonki and the travel center , and within walking distance from the heart of the city thanks to the trade fair bridge .",neutral
188,"finnish textiles and clothing group marimekko oyj posted a net profit of 7.99 mln euro $ 10.4 mln for 2006 , compared to 8.4 mln euro $ 10.9 mln for 2005 .",neutral
189,the main strength of the cooperation project lies in merging the know-how of two large companies .,positive
190,shareholders have a right to put on the agenda of the agm items that are within the competence of the general meeting .,neutral
191,kazgiprotsvetmet and outotec finland have signed an agreement on strategic cooperation in the marketing and providing of minerals processing and metallurgical plants and related services in kazakhstan and the surrounding countries .,positive
192,"due to the rapid decrease in net sales , personnel reductions have been carried out on a wider scale than initially expected .",neutral
193,the government has instead proposed an exchange of the state 's stake in lmt to teliasonera 's stake in lattelecom .,neutral
194,stora is due to release its fourth-quarter and 2009 full-year earnings on feb. 4 .,neutral
195,full-year operating result for 2008 was 3.6 million negative .,neutral
196,$nq got hit hard lower this am --> looks like it has found support a 18.89 http://stks.co/s052z,negative
197,"in 2008 , avc systemhaus had net sales of eur 10 million usd 7.1 m .",neutral
198,"the company has established a 3g base station at about 17,000 feet at the foot of mount everest that will enable mountain climbers at the 29,035-foot summit to surf the internet and even send videos of their exploits .",positive
199,we offer our customers solutions based on renewable raw materials .,neutral
200,a survey conducted by taloustutkimus for sampo life shows that companies are badly prepared to losing key staff members .,neutral
201,"antti orkola , president of kemira growhow 's industrial solutions unit , told thomson financial news the company has put off opening the mine as prices of phosphate have been ` quite depressed for a long time ' . '",neutral
202,the pretax profit of the group 's life insurance business increased to eur36m from eur27m .,positive
203,we make available the following brand-new market analyses cement - pakistan cement - malaysia cement - taiwan cement - philippines these analyses give a clear overview of the actual situation and future outlook of the cement industry in some asian countries .,neutral
204,"the company serves approximately 3,000 customers in over 100 countries .",neutral
205,rt @alphatrends vmarkets are still acting weak http://stks.co/1agn  $spy $qqq $xlf $smh $iwm,negative
206,"operating profit totalled eur 30.2 mn , down from eur 43.8 mn a year earlier .",neutral
207,"one of the installed elevators will be a double-deck elevator , which enables more efficient use of the building 's core space .",positive
208,helsinki ( afx ) - outokumpu said it has agreed to sell the hitura nickel mine in finland to canadian group belvedere resources ltd for 10 mln eur worth of belvedere shares .,neutral
209,just went long $ilmn,positive
210,`` social networking and location-based service trends comprise a significant share of the internet traffic today and are appealing to mid users .,neutral
211,a total 30 % of the order value was booked in the fourth quarter of 2009 and the remainder will be booked in the second quarter of 2010 .,neutral
212,johnson matthey share price slumps as company posts full-year results,negative
213,there have not been previous share subscriptions with 2004 stock options .,neutral
214,affectogenimap builds highly customised it solutions for its customers in finland and the baltic countries .,neutral
215,"the closing of the transaction is scheduled to take place on january 10 , 2008 .",neutral
216,"however , the offering will probably not be made at the current valuation , which partly derives from the deal in which the company was merged into a stock market shell .",neutral
217,"operating result for the 12-month period decreased from the profit of eur0 .4 m while turnover decreased from eur5 .6 m , as compared to 2004 .",neutral
218,the administrators have indicated a need for 900 job cuts at the irish insurer over the next 15 months .,neutral
219,net sales in 2008 are expected to be on the same level as in 2007 .,neutral
220,technical indicators for the stock are bullish and s&p gives nok a positive 4 stars out of 5 buy ranking .,positive
221,"revenue for the quarter totaled 27.4 billion , down 2 percent from 28.1 billion in the fourth quarter in 2008 .",negative
222,n-viro operates processing facilities independently as well as in partnership with municipalities .,neutral
223,the number of bodily injury cases quadrupled in 2000-2006 .,negative
224,"according to ringman , finnish paper companies have acquired know-how and capacity in paper recycling , which has turned out to be a successful strategy .",positive
225,the company also said that in poland a profitability program has been launched at the oborniki steel frame and sandwich panel plant .,positive
226,and u.s. energy executives say high steel prices are threatening energy exploration .,negative
227,tesco sales rise shows tentative recovery continues,positive
228,"in finland , the launch of tie-in sales of 3g mobile phones did not cause a dramatic rush in mobile retail outlets during the first few days .",neutral
229,$nuan held up well after the big gains! maybe we're finally on the move on this!!its still very undervalued and has major upside,positive
230,"the company can be split into two parts over the coming months , with essent owning and operating production and supply , and enexis owning and operating the grid .",neutral
231,officials did not disclose the contract value .,neutral
232,"london 's leading shares today jumped almost 100 points , or 1.7 % , as the market opened .",positive
233,"in the third quarter of fiscal 2008 efore swung to a net loss of eur 400,000 versus a net profit of eur 200,000 for the corresponding period of fiscal 2007 .",neutral
234,"the group 's operating loss was eur 0.8 mn , down from a profit of eur 2.5 mn in 2004 .",neutral
235,the move was triggered by weak demand for forestry equipment and the uncertain market situation .,negative
236,the combined company had pro-forma net sales of 140 mln euro $ 188.9 mln and an operating profit of 13 mln euro $ 17.5 mln for 2006 .,neutral
237,managing director kari inkinen says that sponda 's leasing operations developed highly favourably .,positive
238,17 march 2011 - goldman sachs estimates that there are negative prospects for the norwegian mobile operations of norway 's telenor asa osl : tel and sweden 's teliasonera ab sto : tlsn in the short term .,negative
239,"$tsla steaming up again, this stock is relentless at the moment",positive
240,marathon estimates the value of its remaining stake in protalix at $ 27 million .,neutral
241,whitbread share price climbs on q4 sales growth,positive
242,incap contract manufacturing is a subsidiary of incap corporation of finland .,neutral
243,"operating profit totaled eur 37,7 mn , up slightly from eur 37.2 mn in the corresponding period in 2006 .",positive
244,"we went to the market with yield guidance of the 7.25 % area , which gave us the flexibility to go up or down by 1-8th .",neutral
245,"rt @stockdemons think shorting here into close might be play, $spy - high beta reversing..looks worth a shot",negative
246,"vdw combined with lxe devices enhances productivity , enabling workers to use a single device to perform voice , scanning and keyboard functions .",positive
247,"thus the method will cut working costs , and will fasten the planning and building processes .",positive
248,talentum 's net sales in september were smaller than expected .,negative
249,copyright afx news and afx financial news logo are registered trademarks of afx news limited,neutral
250,$lnkd daily phase 2 retest - price experiencing early rejection. can it retest? http://stks.co/t04xx,negative
251,rbs will reportedly appoint howard davies as its next chairman,neutral
252,"tesco, asda sales fall as march of the discounters continues-kantar",negative
253,`` with this new version it is very important for us to introduce a bim process that is based on the detailed building information model .,neutral
254,sampo plc jarmo salonen head of investor relations and group communications tel. +358 10 516 0030 distribution : nasdaq omx helsinki the principal media financial supervisory authority www.sampo.com this announcement is distributed by thomson reuters on behalf of thomson reuters clients .,neutral
255,.@barronsonline sees #apple at $150/share in a year (+36% from today) on growing services business. $aapl https://t.co/3bdnekn7l1,positive
256,pharmaceutical market in poland global research & data services published recently a market analysis about the pharmaceutical markets in poland .,neutral
257,altogether finnair has canceled over 500 flights because of the strike .,negative
258,"the employer , together with health personnel , supports quitting and pays part of the cost of nicotine treatments .",neutral
259,pretax loss totaled eur 117mn compared to a loss of eur 65mn in the corresponding period .,neutral
260,the order includes 48 ship cranes that will be delivered for 12 container feeders to be built at wenchong shipyard in china .,neutral
261,"copper , lead and nickel also dropped ... hbos ( hbos ) plummeted 20 % to 70.3 pence after saying this year+ó ??",neutral
262,$goog testing the 200 day after some consolidation http://stks.co/h0cpj,positive
263,"he joins technopolis from kone where he has held various positions within the group , most recently as director of service business and business development for kone s middle eastern operations .",neutral
264,"we succeeded in increasing our market share of sold apartment '' , comments mr kari kauniskangas , head of yit international construction services .",positive
265,"profitability ( ebit % ) was 13.9 % , compared to 13.1 % in the previous-year period .",positive
266,"finnish geosentric 's net sales decreased to eur 939,000 in january-march 2009 .",neutral
267,"the plant is scheduled for completion in late february 2007 with hand over of some areas in january two other suppliers of nokia - aspocomp group oyj and perlos - have announced their plans to establish plants within the nokia complex together , they will invest rs 365 crore .",neutral
268,- upm-kymmene upgraded to ` in-line ' from ` underperform ' by goldman sachs .,positive
269,slump in weir leads ftse down from record high,negative
270,"jan. 6 -- ford is struggling in the face of slowing truck and suv sales and a surfeit of up-to-date , gotta-have cars .",neutral
271,"royal mail 'breached competition law' over delivery service changes, ofcom claims",negative
272,"the cooperation will involve arena partners buying a 35 % share of the new joint venture company , operating in alma media 's home sales , vehicle and consumer advertising marketplace businesses .",neutral
273,the efore plant at saarijarvi in central finland is one of the largest employers in the region .,neutral
274,however short-term rentals are becoming more popular .,neutral
275,emsa deputy chairman of the board juri lember told bns on wednesday that this was the first time he heard about the strike as the swedish side had not informed the estonian union yet .,neutral
276,tesco closes in on new chairman with dixons carphone's john allan in the frame,positive
277,"the device offers multimedia performance along with a host of productivity applications , including live stock prices .",neutral
278,"sales climbed 19.2 pct to 1.002 bln eur , surpassing the 953 mln eur consensus figure .",positive
279,$fb turns back down in early trading.... https://t.co/reuf5pzhbm,negative
280,"utah 's capital wanted to be the next u.s. headquarters of amer sports corp. , a ski-equipment company .",neutral
281,old mutual first-quarter sales up 18% buoyed by emerging markets,positive
282,"the dividend is payable on february 1 , 2010 to shareholders of record on january 19 , 2010 .",neutral
283,"sales in finland decreased by 10.5 % in january , while sales outside finland dropped by 17 % .",negative
284,"furthermore , bunge will also sign a licensing agreement for the sunnuntai and carlshamn mejeri brands .",positive
285,"kesko corporation stock exchange release 28.02.2008 at 09.30 1 ( 1 ) kesko corporation and aspo plc today signed an agreement by which aspo acquires the share capital of kauko-telko ltd , a subsidiary wholly owned by kesko .",positive
286,$lulu #outlook #q1 2013 #lost revenue in the range of $12 million to $17 million -not good,negative
287,mobile communication and wireless broadband provider nokia inc nyse : nok today set new financial targets and forecasts for nokia and the mobile device industry and also for nokia siemens networks and the mobile and fixed infrastructure and related services market .,neutral
288,"poyry plc additional information by : heikki malinen , president and ceo , poyry plc tel. +358 10 33 21307 poyry is a global expert in consulting and engineering .",neutral
289,danish company flsmidth has acknowledged that it has violated a patent held by finnish metso .,neutral
290,amanda capital has investments in 22 private equity funds and in over 200 unquoted companies mainly in europe .,neutral
291,"net interest income was eur 39.3 mn , up from eur 32.7 mn .",positive
292,"jeder beta-tester erh+ñlt kostenlos sechs monate lang updates und hat laut eigener aussage die m+âglichkeit , die finale version zu beeinflussen .",neutral
